LabelText;Href;HrefTarget;Title;Remark;ProjectState;OptionalInfo
ONAP Logo;https://docs.onap.org/en/latest/guides/overview/overview.html;Overview;The Open Network Automation Platform (ONAP) is a comprehensive platform for orchestration, management, and automation of network and edge computing services for network operators, cloud providers, and enterprises. The open source project ONAP is hosted by the Linux Foundation.;;na;
RELEASE 10 »JAKARTA«;https://docs.onap.org/en/latest/guides/overview/overview.html#onap-release-information;Overview;ONAP Release 10 »Jakarta« is not yet released.;;na;
ONAP Components (Border);https://docs.onap.org/en/latest/guides/onap-developer/architecture/index.html;Architecture;The ONAP architecture consists of functions for the design-time, run-time, for managing ONAP itself and additional utilities.;;na;
Northbound Interface (NBI) towards OSS, BSS and other;https://docs.onap.org/projects/onap-externalapi-nbi/en/latest/architecture/architecture.html#introduction;Component;The Northbound Interface (NBI) provides a set of API that can be used by external systems as OSS or BSS for example. These APIs are based on TMF API.;"Required in this map? Because we also show the ""External APIs"" block in the map?! ";na;
Design-Time;https://docs.onap.org/en/latest/guides/onap-developer/architecture/onap-architecture.html#design-time-framework;Architecture;The Design-time framework is a comprehensive development environment with tools, techniques and repositories for defining/describing resources, services, and products.;;na;
Service Design & Creation (SDC);https://docs.onap.org/projects/onap-sdc/en/latest/index.html;Component;Service Design & Creation (SDC) provides a well-structured organization of visual design and testing tools, templates and catalogs to model and create resources, and services. The output of the SDC is a set of models which drives the orchestration. In addition, it provides process workflow support for talking to the VNF/PNF or other resources and services through the process steps design, test and deploy.;Map update required? The elements below are a mix of tasks and ABB?! ;maintained;
Service/xNF Design;https://docs.onap.org/en/latest/guides/onap-user/design/index.html;GuideUser;The goal of the design process is to create all artifacts (models) that are required to instantiate and manage resources, services, and products on the ONAP platform.;;na;https://docs.onap.org/projects/onap-vnfrqts-requirements/en/latest/Chapter7/VNF-On-boarding-and-package-management.html
xNF Onboarding;https://docs.onap.org/projects/onap-vnfrqts-requirements/en/latest/Chapter7/VNF-On-boarding-and-package-management.html;VnfRequirements;The VNF provider must provide VNF packages that include a rich set of recipes, management and functional interfaces, policies, configuration parameters, and infrastructure requirements that can be utilized by the ONAP Design module to onboard and catalog these resources.;;na;
Workflow Designer;https://docs.onap.org/projects/onap-sdc/en/latest/workflow.html;Component;Workflow Designer allows a user to design a workflow, save it, and attach it to a SDC service as an artifact. Workflow Designer also manages the definitions of activities, which can be later used as parts of the designed workflows.;;na;
Controller Design Studio (CDS);https://docs.onap.org/projects/onap-ccsdk-cds/en/latest/index.html;Component;The design-time part of the Controller Design Studio (CDS) – the CDS Designer UI – is a framework to automate the resolution of resources for instantiation and any config provisioning operation, such as day0, day1, or day2 configuration. A designer can define what actions are required for a given service, along with anything comprising the action. Its content is driven from a catalog of reusable data dictionary and component, delivering a reusable and simplified self-service experience. CDS modeling is mainly based on the TOSCA standard, using JSON as a representation. CDS is part of CCSDK.;;maintained;
DCAE Design Studio;https://docs.onap.org/projects/onap-dcaegen2/en/latest/sections/design-components/DCAE-MOD/DCAE-MOD-Architecture.html;Component;Data Collection, Analytics and Events (DCAE) Design Studio enables to define and configure the monitoring flows of DCAE.;"Revise description? Rename ABB to ""DCAE MOD""?";maintained;"Data Collection, Analytics and Events (DCAE) Microservice Onboarding & Design (MOD)
Support automated adaptation of ML model from Acumos to DCAE design & runtime environment.
Provide simplified mS Onboarding, Service Assurance flow design, & mS configurations in DCAE.
Auto-generate blueprint at the end of the design process, not onboarded before the design process.
Support Policy onboarding & artifact distribution to Policy/CLAMP to support Self Service Control Loop.
Integrate with ONAP User Experience portals (initially ONAP portal, later SDC portal)."
Catalog;https://docs.onap.org/projects/onap-sdc/en/latest/architecture.html;Component;The key output of SDC is a set of models containing descriptions of asset capabilities and instructions to manage them. These models are stored in the SDC Master Reference Catalog for the entire enterprise to use.;Description of the SDC Catalog is missing in RTD. Link is rerouted to DevWiki / ARC Review.;na;
VNF Validation;https://docs.onap.org/en/latest/guides/onap-provider/index.html#vnf-and-pnf-requirements-and-guidelines;GuideProvider;Ensures that a network function (e.g. CNF, PNF, VNF) fits all ONAP guidelines and requirements.;;na;
VVP;https://docs.onap.org/projects/onap-vvp-documentation/en/latest/index.html;Component;The VNF Validation Platform (VVP) provides the functionality to validate that a VNF Heat package is compliant with the ONAP VNF Heat Template Requirements from the ONAP VNF Requirements (VNFRQTS) project.;;maintained;
