repository;project;g;gm;h;hm;i;im;j;jm;k;km;;;;
aaf;aaf;#;#;#;;#;;;;;;;;;
aaf/authz;aaf;#;#;#;;#;;;;;;;;;
aaf/cadi;aaf;#;#;#;;#;;;;;;;;;
aaf/certservice;aaf;#;#;#;;#;;;;;;;;;
aaf/inno;aaf;#;#;#;;#;;;;;;;;;
aaf/luaplugin;aaf;#;#;#;;#;;;;;;;;;
aaf/oom;aaf;#;#;#;;#;;;;;;;;;
aaf/sms;aaf;#;#;#;;#;;;;;;;;;
aaf/sshsm;aaf;#;#;#;;#;;;;;;;;;
aai;aai;g;gm;h;;i;;;;;;;;;
aai/aai-common;aai;g;gm;h;;i;;;;;;;;;
aai/aai-config;aai;g;gm;h;;i;;;;;;;;;
aai/aai-data;aai;g;gm;h;;i;;;;;;;;;
aai/aai-service;aai;g;gm;h;;i;;;;;;;;;
aai/babel;aai;g;gm;h;;i;;;;;;;;;
aai/cacher;aai;g;gm;h;;i;;;;;;;;;
aai/chameleon;aai;g;gm;h;;i;;;;;;;;;
aai/champ;aai;g;gm;h;;i;;;;;;;;;
aai/data-router;aai;g;gm;h;;i;;;;;;;;;
aai/eis;aai;g;gm;h;;i;;;;;;;;;
aai/enricher;aai;g;gm;h;;i;;;;;;;;;
aai/esr-gui;aai;g;gm;h;;i;;;;;;;;;
aai/esr-server;aai;g;gm;h;;i;;;;;;;;;
aai/event-client;aai;g;gm;h;;i;;;;;;;;;
aai/gallifrey;aai;g;gm;h;;i;;;;;;;;;
aai/gap;aai;g;gm;h;;i;;;;;;;;;
aai/gizmo;aai;g;gm;h;;i;;;;;;;;;
aai/graphadmin;aai;g;gm;h;;i;;;;;;;;;
aai/graphgraph;aai;g;gm;h;;i;;;;;;;;;
aai/logging-service;aai;g;gm;h;;i;;;;;;;;;
aai/model-loader;aai;g;gm;h;;i;;;;;;;;;
aai/oom;aai;g;gm;h;;i;;;;;;;;;
aai/resources;aai;g;gm;h;;i;;;;;;;;;
aai/rest-client;aai;g;gm;h;;i;;;;;;;;;
aai/router-core;aai;g;gm;h;;i;;;;;;;;;
aai/schema-service;aai;g;gm;h;;i;;;;;;;;;
aai/search-data-service;aai;g;gm;h;;i;;;;;;;;;
aai/sparky-be;aai;g;gm;h;;i;;;;;;;;;
aai/sparky-fe;aai;g;gm;h;;i;;;;;;;;;
aai/spike;aai;g;gm;h;;i;;;;;;;;;
aai/tabular-data-service;aai;g;gm;h;;i;;;;;;;;;
aai/test-config;aai;g;gm;h;;i;;;;;;;;;
aai/traversal;aai;g;gm;h;;i;;;;;;;;;
aai/validation;aai;g;gm;h;;i;;;;;;;;;
appc;appc;#;#;#;;#;;;;;;;;;
appc/cdt;appc;#;#;#;;#;;;;;;;;;
appc/deployment;appc;#;#;#;;#;;;;;;;;;
appc/parent;appc;#;#;#;;#;;;;;;;;;
ccsdk;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/apps;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/cds;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/dashboard;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/distribution;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/features;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/oran;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/parent;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/platform/blueprints;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/platform/nbapi;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/platform/plugins;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/sli;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/sli/adaptors;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/sli/core;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/sli/northbound;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/sli/plugins;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/storage/esaas;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/storage/pgaas;ccsdk;g;gm;h;;i;;;;;;;;;
ccsdk/utils;ccsdk;g;gm;h;;i;;;;;;;;;
ci-management;ci-management;#;#;#;;#;;;;;;;;;
clamp;clamp;g;#;#;;#;;;;;;;;;
clamp/dashboard;clamp;g;#;#;;#;;;;;;;;;
